,id,value
118,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)"
119,DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2023 US$)"
120,DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)"
121,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI)
122,DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
123,DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)"
124,DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
125,DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
126,DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
127,DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves)
128,DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)"
129,DT.DOD.DSTC.ZS,Short-term debt (% of total external debt)
130,DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
131,DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)"
132,DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)"
133,DT.DOD.PVLX.CD,Present value of external debt (current US$)
134,DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)"
135,DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI)
136,DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)"
137,DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)"
138,DT.NFL.CERF.CD,"Net official flows from UN agencies, CERF (current US$)"
139,DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
140,DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)"
141,DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)"
142,DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)"
143,DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)"
144,DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)"
145,DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)"
146,DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)"
147,DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)"
148,DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)"
149,DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)"
150,DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, US$)"
151,DT.NFL.OFFT.CD,"PPG, official creditors (NFL, US$)"
152,DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)"
153,DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)"
154,DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
155,DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)"
156,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)"
157,DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)"
158,DT.NFL.PRVT.CD,"PPG, private creditors (NFL, US$)"
159,DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)"
160,DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)"
161,DT.NFL.SDGF.CD,"Net official flows from UN agencies, SDGFUND (current US$)"
162,DT.NFL.SPRP.CD,"Net official flows from UN agencies, SPRP (current US$)"
163,DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)"
164,DT.NFL.UNCD.CD,"Net official flows from UN agencies, UNCDF (current US$)"
165,DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)"
166,DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)"
167,DT.NFL.UNCTAD.CD,"Net official flows from UN agencies, UNCTAD (current US$)"
168,DT.NFL.UNCV.CD,"Net official flows from UN agencies, UNCOVID (current US$)"
169,DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)"
170,DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)"
171,DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)"
172,DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)"
173,DT.NFL.UNID.CD,"Net official flows from UN agencies, UNIDIR (current US$)"
174,DT.NFL.UNIDO.CD,"Net official flows from UN agencies, UNIDO (current US$)"
175,DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)"
176,DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)"
177,DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)"
178,DT.NFL.UNWN.CD,"Net official flows from UN agencies, UNWOMEN (current US$)"
179,DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)"
180,DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)"
181,DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)"
182,DT.NFL.WITC.CD,"Net official flows from UN agencies, WTO-ITC (current US$)"
183,DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$)
184,DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2023 US$)
185,DT.ODA.OATL.CD,Net official aid received (current US$)
186,DT.ODA.OATL.KD,Net official aid received (constant 2023 US$)
187,DT.ODA.ODAT.CD,Net official development assistance received (current US$)
188,DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation)
189,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI)
