,id,value
685,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
686,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
687,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$)
688,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
689,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
690,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$)
691,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
692,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
693,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
694,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
695,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
696,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU)
697,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
698,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
699,NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
700,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
701,NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
702,NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
703,NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
704,NY.GDP.FCST.CD,Gross value added at basic prices (GVA) (current US$)
705,NY.GDP.FCST.CN,Gross value added at basic prices (GVA) (current LCU)
706,NY.GDP.FCST.KD,Gross value added at basic prices (GVA) (constant 2015 US$)
707,NY.GDP.FCST.KN,Gross value added at basic prices (GVA) (constant LCU)
708,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
709,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
710,NY.GDP.MKTP.CD,GDP (current US$)
711,NY.GDP.MKTP.CN,GDP (current LCU)
712,NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
713,NY.GDP.MKTP.KD,GDP (constant 2015 US$)
714,NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
715,NY.GDP.MKTP.KN,GDP (constant LCU)
716,NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
717,NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)"
718,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
719,NY.GDP.PCAP.CD,GDP per capita (current US$)
720,NY.GDP.PCAP.CN,GDP per capita (current LCU)
721,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
722,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
723,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
724,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
725,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)"
726,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
727,NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
728,NY.GDS.TOTL.CD,Gross domestic savings (current US$)
729,NY.GDS.TOTL.CN,Gross domestic savings (current LCU)
730,NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP)
731,NY.GDY.TOTL.KN,Gross domestic income (constant LCU)
732,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)"
733,NY.GNP.MKTP.CD,GNI (current US$)
734,NY.GNP.MKTP.CN,GNI (current LCU)
735,NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU)
736,NY.GNP.MKTP.KD,GNI (constant 2015 US$)
737,NY.GNP.MKTP.KD.ZG,GNI growth (annual %)
738,NY.GNP.MKTP.KN,GNI (constant LCU)
739,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)"
740,NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2021 international $)"
741,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)"
742,NY.GNP.PCAP.CN,GNI per capita (current LCU)
743,NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$)
744,NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %)
745,NY.GNP.PCAP.KN,GNI per capita (constant LCU)
746,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)"
747,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2021 international $)"
748,NY.GNS.ICTR.CD,Gross savings (current US$)
749,NY.GNS.ICTR.CN,Gross savings (current LCU)
750,NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI)
751,NY.GNS.ICTR.ZS,Gross savings (% of GDP)
752,NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$)
753,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU)
754,NY.GSR.NFCY.KN,Net primary income (Net income from abroad) (constant LCU)
755,NY.TAX.NIND.CD,Taxes less subsidies on products (current US$)
756,NY.TAX.NIND.CN,Taxes less subsidies on products (current LCU)
757,NY.TAX.NIND.KN,Taxes less subsidies on products (constant LCU)
758,NY.TRF.NCTR.CD,Net secondary income (Net current transfers from abroad) (current US$)
759,NY.TRF.NCTR.CN,Net secondary income (Net current transfers from abroad) (current LCU)
760,NY.TRF.NCTR.KN,Net secondary income (Net current transfers from abroad) (constant LCU)
761,NY.TTF.GNFS.KN,Terms of trade adjustment (constant LCU)
762,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
763,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)"
764,PA.NUS.GDP.PLI,Price level index (GDP)
765,PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)"
766,PA.NUS.PRVT.PLI,Price level index (Households and NPISHs Final consumption expenditure)
767,PA.NUS.PRVT.PP,"PPP conversion factor, households and NPISHs Final consumption expenditure (LCU per international $)"
768,per_allsp.adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
769,per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
770,per_allsp.cov_pop_tot,Coverage of social protection and labor programs (% of population)
771,per_lm_alllm.adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
772,per_lm_alllm.ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
773,per_lm_alllm.cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population)
774,per_lm_alllm.cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of population)
775,per_lm_alllm.cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population)
776,per_lm_alllm.cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population)
777,per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population)
778,per_lm_alllm.cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of population)
779,per_sa_allsa.adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households)
780,per_sa_allsa.ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
781,per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population)
782,per_sa_allsa.cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of population)
783,per_sa_allsa.cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population)
784,per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population)
785,per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population)
786,per_sa_allsa.cov_q5_tot,Coverage of social safety net programs in richest quintile (% of population)
787,per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households)
788,per_si_allsi.ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
789,per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population)
790,per_si_allsi.cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of population)
791,per_si_allsi.cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population)
792,per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population)
793,per_si_allsi.cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population)
794,per_si_allsi.cov_q5_tot,Coverage of social insurance programs in richest quintile (% of population)
795,PX.REX.REER,Real effective exchange rate index (2010 = 100)
796,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)"
797,SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
798,SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)"
799,SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)"
800,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)"
801,SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)"
802,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)"
803,SE.COM.DURS,"Compulsory education, duration (years)"
804,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
805,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)"
806,SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)"
807,SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)"
808,SE.LPV.PRIM,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
809,SE.LPV.PRIM.FE,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
810,SE.LPV.PRIM.LD,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
811,SE.LPV.PRIM.LD.FE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
812,SE.LPV.PRIM.LD.MA,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
813,SE.LPV.PRIM.MA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
814,SE.LPV.PRIM.SD,Primary school age children out-of-school (%)
815,SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%)
816,SE.LPV.PRIM.SD.MA,Male primary school age children out-of-school (%)
817,SE.PRE.DURS,"Preprimary education, duration (years)"
818,SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary"
819,SE.PRE.ENRR,"School enrollment, preprimary (% gross)"
820,SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)"
821,SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)"
822,SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)"
823,SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)"
824,SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers)
825,SE.PRM.AGES,Primary school starting age (years)
826,SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)"
827,SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)"
828,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
829,SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
830,SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
831,SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
832,SE.PRM.DURS,"Primary education, duration (years)"
833,SE.PRM.ENRL,"Primary education, pupils"
834,SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)"
835,SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary"
836,SE.PRM.ENRR,"School enrollment, primary (% gross)"
837,SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)"
838,SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)"
839,SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)"
840,SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
841,SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)"
842,SE.PRM.NENR,"School enrollment, primary (% net)"
843,SE.PRM.NENR.FE,"School enrollment, primary, female (% net)"
844,SE.PRM.NENR.MA,"School enrollment, primary, male (% net)"
845,SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)"
846,SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)"
847,SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population)
848,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)"
849,SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)"
850,SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)"
851,SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)"
852,SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)"
853,SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)"
854,SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)"
855,SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)"
856,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)"
857,SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)"
858,SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)"
859,SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)"
860,SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)"
861,SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)"
862,SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)"
863,SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers)
864,SE.PRM.TCHR,"Primary education, teachers"
865,SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)"
866,SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
867,SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)"
868,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
869,SE.PRM.UNER,"Children out of school, primary"
870,SE.PRM.UNER.FE,"Children out of school, primary, female"
871,SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)"
872,SE.PRM.UNER.MA,"Children out of school, primary, male"
873,SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)"
874,SE.PRM.UNER.ZS,Children out of school (% of primary school age)
875,SE.SEC.AGES,Lower secondary school starting age (years)
876,SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
877,SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)"
878,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)"
879,SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
880,SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
881,SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)"
882,SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
883,SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
884,SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
885,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
886,SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
887,SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)"
888,SE.SEC.DURS,"Secondary education, duration (years)"
889,SE.SEC.ENRL,"Secondary education, pupils"
890,SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)"
891,SE.SEC.ENRL.GC,"Secondary education, general pupils"
892,SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)"
893,SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary"
894,SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary"
895,SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary"
896,SE.SEC.ENRL.VO,"Secondary education, vocational pupils"
897,SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)"
898,SE.SEC.ENRR,"School enrollment, secondary (% gross)"
899,SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)"
900,SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)"
901,SE.SEC.NENR,"School enrollment, secondary (% net)"
902,SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)"
903,SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)"
904,SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)"
905,SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)"
906,SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)"
907,SE.SEC.PROG.ZS,Progression to secondary school (%)
908,SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
909,SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)"
910,SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)"
911,SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers)
912,SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
913,SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)"
914,SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)"
915,SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers)
916,SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers)
917,SE.SEC.TCHR,"Secondary education, teachers"
918,SE.SEC.TCHR.FE,"Secondary education, teachers, female"
919,SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)"
920,SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
921,SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)"
922,SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age)
923,SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
924,SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
925,SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)"
926,SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
927,SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
928,SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
929,SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
930,SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
931,SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)"
932,SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
933,SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
934,SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)"
935,SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary"
936,SE.TER.ENRR,"School enrollment, tertiary (% gross)"
937,SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)"
938,SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)"
939,SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)"
940,SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
941,SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)"
942,SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)"
943,SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)"
944,SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
945,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
946,SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
947,SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
948,SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
949,SE.XPD.TERT.ZS,Expenditure on tertiary education (% of government expenditure on education)
950,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
951,SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total (% of GDP)"
952,SG.DMK.ALLD.FN.ZS,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
953,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)"
954,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%)
955,SG.TIM.UWRK.FE,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
956,SG.TIM.UWRK.MA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
957,SG.VAW.1549.ZS,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
958,SG.VAW.ARGU.ZS,Women who believe a husband is justified in beating his wife when she argues with him (%)
959,SG.VAW.BURN.ZS,Women who believe a husband is justified in beating his wife when she burns the food (%)
960,SG.VAW.GOES.ZS,Women who believe a husband is justified in beating his wife when she goes out without telling him (%)
961,SG.VAW.NEGL.ZS,Women who believe a husband is justified in beating his wife when she neglects the children (%)
962,SG.VAW.REAS.ZS,Women who believe a husband is justified in beating his wife (any of five reasons) (%)
963,SG.VAW.REFU.ZS,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
964,SH.ALC.PCAP.FE.LI,"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)"
965,SH.ALC.PCAP.LI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
966,SH.ALC.PCAP.MA.LI,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
967,SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
968,SH.ANM.CHLD.ZS,Prevalence of anemia among children (% of children ages 6-59 months)
969,SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49)
970,SH.CON.1524.FE.ZS,"Condom use, population ages 15-24, female (% of females ages 15-24)"
971,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)"
972,SH.DTH.0509,Number of deaths ages 5-9 years
973,SH.DTH.1014,Number of deaths ages 10-14 years
974,SH.DTH.1519,Number of deaths ages 15-19 years
975,SH.DTH.2024,Number of deaths ages 20-24 years
976,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
977,SH.DTH.IMRT,Number of infant deaths
978,SH.DTH.INJR.ZS,"Cause of death, by injury (% of total)"
979,SH.DTH.MORT,Number of under-five deaths
980,SH.DTH.NCOM.ZS,"Cause of death, by non-communicable diseases (% of total)"
981,SH.DTH.NMRT,Number of neonatal deaths
982,SH.DTH.OCVD.ZS,"Cause of death, by other COVID-19 pandemic-related outcomes (% of total)"
983,SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)"
984,SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)"
985,SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)"
986,SH.DYN.2024,"Probability of dying among youth ages 20-24 years (per 1,000)"
987,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%)
988,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)"
989,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)"
990,SH.DYN.MORT.FE,"Mortality rate, under-5, female (per 1,000 live births)"
991,SH.DYN.MORT.MA,"Mortality rate, under-5, male (per 1,000 live births)"
992,SH.DYN.NCOM.FE.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
993,SH.DYN.NCOM.MA.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
994,SH.DYN.NCOM.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
995,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)"
996,SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
997,SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)"
998,SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)"
999,SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population)
1000,SH.H2O.SMDW.RU.ZS,"People using safely managed drinking water services, rural (% of rural population)"
1001,SH.H2O.SMDW.UR.ZS,"People using safely managed drinking water services, urban (% of urban population)"
1002,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population)
1003,SH.HIV.0014,Children (0-14) living with HIV
1004,SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)"
1005,SH.HIV.1524.MA.ZS,"Prevalence of HIV, male (% ages 15-24)"
1006,SH.HIV.ARTC.ZS,Antiretroviral therapy coverage (% of people living with HIV)
1007,SH.HIV.INCD,Adults (ages 15-49) newly infected with HIV
1008,SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV
1009,SH.HIV.INCD.TL,Adults (ages 15+) and children (ages 0-14) newly infected with HIV
1010,SH.HIV.INCD.TL.P3,"Incidence of HIV, all (per 1,000 uninfected population)"
1011,SH.HIV.INCD.YG,Young people (ages 15-24) newly infected with HIV
1012,SH.HIV.INCD.YG.P3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
1013,SH.HIV.INCD.ZS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)"
1014,SH.HIV.PMTC.ZS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
1015,SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)"
1016,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
1017,SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)"
1018,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)"
1019,SH.MED.CMHW.P3,"Community health workers (per 1,000 people)"
1020,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)"
